id,term_en,term_fr,definition_fr,synonyms,tags,label_primary,text_for_embedding,text_for_search
1,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,valuation,valuation,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: valuation.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier valuation
103,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,accounting,accounting,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: accounting.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier accounting
104,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,accounting,accounting,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: accounting.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier accounting
105,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,accounting,accounting,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: accounting.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier accounting
106,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,accounting,accounting,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: accounting.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier accounting
107,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,accounting,accounting,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: accounting.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier accounting
108,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,accounting,accounting,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: accounting.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier accounting
109,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,accounting,accounting,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: accounting.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier accounting
110,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,accounting,accounting,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: accounting.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier accounting
111,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,macro,macro,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: macro.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier macro
112,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,macro,macro,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: macro.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier macro"
113,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,macro,macro,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: macro.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier macro
114,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,macro,macro,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: macro.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier macro
115,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,macro,macro,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: macro.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier macro
116,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,macro,macro,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: macro.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier macro
117,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,macro,macro,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: macro.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier macro
118,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,macro,macro,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: macro.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier macro
119,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,macro,macro,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: macro.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier macro
120,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,macro,macro,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: macro.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier macro
121,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,derivatives,derivatives,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: derivatives.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier derivatives
122,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,derivatives,derivatives,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: derivatives.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier derivatives"
123,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,derivatives,derivatives,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: derivatives.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier derivatives
124,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,derivatives,derivatives,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: derivatives.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier derivatives
125,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,derivatives,derivatives,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: derivatives.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier derivatives
126,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,derivatives,derivatives,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: derivatives.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier derivatives
127,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,derivatives,derivatives,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: derivatives.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier derivatives
128,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,derivatives,derivatives,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: derivatives.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier derivatives
129,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,derivatives,derivatives,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: derivatives.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier derivatives
130,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,derivatives,derivatives,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: derivatives.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier derivatives
131,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,corporate_finance,corporate_finance,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: corporate_finance.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier corporate_finance
132,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,corporate_finance,corporate_finance,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: corporate_finance.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier corporate_finance"
133,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,corporate_finance,corporate_finance,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: corporate_finance.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier corporate_finance
134,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,corporate_finance,corporate_finance,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: corporate_finance.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier corporate_finance
135,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,corporate_finance,corporate_finance,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: corporate_finance.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier corporate_finance
136,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,corporate_finance,corporate_finance,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: corporate_finance.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier corporate_finance
137,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,corporate_finance,corporate_finance,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: corporate_finance.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier corporate_finance
138,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,corporate_finance,corporate_finance,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: corporate_finance.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier corporate_finance
139,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,corporate_finance,corporate_finance,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: corporate_finance.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier corporate_finance
140,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,corporate_finance,corporate_finance,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: corporate_finance.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier corporate_finance
141,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,valuation,valuation,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: valuation.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier valuation
142,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,valuation,valuation,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: valuation.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier valuation"
143,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,valuation,valuation,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: valuation.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier valuation
144,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,valuation,valuation,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: valuation.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier valuation
145,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,valuation,valuation,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: valuation.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier valuation
146,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,valuation,valuation,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: valuation.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier valuation
147,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,valuation,valuation,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: valuation.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier valuation
148,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,valuation,valuation,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: valuation.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier valuation
149,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,valuation,valuation,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: valuation.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier valuation
150,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,valuation,valuation,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: valuation.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier valuation
151,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,trading,trading,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: trading.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier trading
152,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,trading,trading,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: trading.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier trading"
153,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,trading,trading,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: trading.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier trading
154,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,trading,trading,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: trading.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier trading
155,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,trading,trading,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: trading.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier trading
156,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,trading,trading,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: trading.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier trading
157,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,trading,trading,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: trading.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier trading
158,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,trading,trading,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: trading.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier trading
159,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,trading,trading,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: trading.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier trading
160,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,trading,trading,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: trading.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier trading
161,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,risk,risk,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: risk.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier risk
162,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,risk,risk,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: risk.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier risk"
163,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,risk,risk,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: risk.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier risk
164,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,risk,risk,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: risk.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier risk
165,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,risk,risk,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: risk.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier risk
166,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,risk,risk,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: risk.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier risk
167,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,risk,risk,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: risk.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier risk
168,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,risk,risk,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: risk.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier risk
169,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,risk,risk,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: risk.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier risk
170,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,risk,risk,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: risk.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier risk
171,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,accounting,accounting,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: accounting.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier accounting
172,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,accounting,accounting,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: accounting.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier accounting"
173,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,accounting,accounting,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: accounting.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier accounting
174,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,accounting,accounting,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: accounting.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier accounting
